location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,location_geom
"Kędzierzyn-Koźle, ul. Śmiałego",Kędzierzyn-Koźle,PL,bc,1.21101,2022-05-14 19:00:00.000000 UTC,µg/m³,GIOS,1.0,50.349608,18.236575,POINT(50.349608 1)
"Rybnik, ul. Borki",Rybnik,PL,bc,0.87571,2022-05-17 06:00:00.000000 UTC,µg/m³,GIOS,1.0,50.111181,18.516139,POINT(50.111181 1)
"Żagań, ul. Kochanowskiego",Żagań,PL,bc,0.1161,2022-05-06 19:00:00.000000 UTC,µg/m³,GIOS,1.0,51.615447,15.301667,POINT(51.615447 1)
"Płock, ul. Królowej Jadwigi",Płock,PL,bc,0.16,2022-05-09 07:00:00.000000 UTC,µg/m³,GIOS,1.0,52.556279,19.687672,POINT(52.556279 1)
"Rzeszów, ul. Rejtana",Rzeszów,PL,bc,0.21042,2022-04-28 13:00:00.000000 UTC,µg/m³,GIOS,1.0,50.024242,22.010575,POINT(50.024242 1)
"Biała, ul. Kmicica",Biała,PL,bc,0.1,2022-05-03 12:00:00.000000 UTC,µg/m³,GIOS,1.0,52.602534,19.6451,POINT(52.602534 1)
"Kalisz, ul. Wyszyńskiego",Kalisz,PL,bc,0.18256,2022-04-29 17:00:00.000000 UTC,µg/m³,GIOS,1.0,51.748103,18.04931,POINT(51.748103 1)
"Starachowice, ul. Złota",Starachowice,PL,bc,0.71,2022-04-27 22:00:00.000000 UTC,µg/m³,GIOS,1.0,51.050611,21.084175,POINT(51.050611 1)
"Bydgoszcz, pl. Poznański",Bydgoszcz,PL,bc,0.3,2022-05-23 11:00:00.000000 UTC,µg/m³,GIOS,1.0,53.121774,17.987883,POINT(53.121774 1)
"Wałbrzych, ul. Wysockiego",Wałbrzych,PL,bc,1.32741,2022-05-11 18:00:00.000000 UTC,µg/m³,GIOS,1.0,50.768729,16.269677,POINT(50.768729 1)
"Koszalin, ul. Armii Krajowej",Koszalin,PL,bc,0.0,2022-05-15 05:00:00.000000 UTC,µg/m³,GIOS,1.0,54.193986,16.172544,POINT(54.193986 1)
"Kalisz, ul. Wyszyńskiego",Kalisz,PL,bc,0.20003,2022-05-16 07:00:00.000000 UTC,µg/m³,GIOS,1.0,51.748103,18.04931,POINT(51.748103 1)
"Koszalin, ul. Armii Krajowej",Koszalin,PL,bc,0.2604,2022-05-03 23:00:00.000000 UTC,µg/m³,GIOS,1.0,54.193986,16.172544,POINT(54.193986 1)
McMillan Reservoir,Washington-Arlington-Alexandria,US,bc,0.13,2022-05-08 04:00:00.000000 UTC,µg/m³,AirNow,1.0,38.921848,-77.013176,POINT(38.921848 1)
E Providence,Providence-New Bedford-Fall River,US,bc,0.12,2022-05-09 08:00:00.000000 UTC,µg/m³,AirNow,1.0,41.840302,-71.361702,POINT(41.840302 1)
E Providence,Providence-New Bedford-Fall River,US,bc,0.1,2022-05-15 14:00:00.000000 UTC,µg/m³,AirNow,1.0,41.840302,-71.361702,POINT(41.840302 1)
Oakland West,San Francisco-Oakland-Fremont,US,bc,0.27,2022-05-05 18:00:00.000000 UTC,µg/m³,AirNow,1.0,37.8148,-122.282402,POINT(37.8148 1)
İzmit-MTHM,Kocaeli,TR,co,1854.62,2022-04-04 05:00:00.000000 UTC,µg/m³,Turkey,1.0,40.76811,29.93812,POINT(40.76811 1)
Dobrota,Kotor,ME,co,180.0,2022-05-11 12:00:00.000000 UTC,µg/m³,Montenegro,1.0,42.465889,18.764574,POINT(42.465889 1)
CENTENARIO,Buenos Aires,AR,co,0.52,2022-05-09 06:00:00.000000 UTC,ppm,Buenos Aires,8.0,-34.60638,-58.43194,POINT(-34.60638 8)
תחנה:המעפיל,שרון,IL,co,0.1,2019-04-03 21:00:00.000000 UTC,ppm,Israel,0.25,32.37261,34.97679,POINT(32.37261 0.25)
淮河道,天津市,CN,co,600.0,2019-03-19 07:00:00.000000 UTC,µg/m³,ChinaAQIData,39.2133,117.1837,1.0,POINT(117.1837 39.2133)
环保大楼,衢州市,CN,co,600.0,2021-08-09 11:00:00.000000 UTC,µg/m³,ChinaAQIData,1.0,28.9398,118.8692,POINT(28.9398 1)
"Gimnazija ""Stojan Cerović""",Nikšić,ME,co,280.0,2022-05-10 00:00:00.000000 UTC,µg/m³,Montenegro,1.0,42.78137,18.942683,POINT(42.78137 1)
"Osnovna škola ""Risto Ratković""",Bijelo Polje,ME,co,120.0,2022-05-17 05:00:00.000000 UTC,µg/m³,Montenegro,1.0,43.02901,19.7426,POINT(43.02901 1)
AT60172,Steiermark,AT,co,152.59099,2022-05-10 16:00:00.000000 UTC,µg/m³,EEA Austria,1.0,47.0692399994646,15.431945,POINT(47.0692399994646 1)
AT60172,Steiermark,AT,co,344.78449,2022-05-03 07:00:00.000000 UTC,µg/m³,EEA Austria,1.0,47.0692399994646,15.431945,POINT(47.0692399994646 1)
AT90TAB,Wien,AT,co,260.50949,2022-05-05 13:00:00.000000 UTC,µg/m³,EEA Austria,1.0,48.2167394439111,16.3809180555556,POINT(48.2167394439111 1)
AT60170,Steiermark,AT,co,136.78801,2022-05-24 17:00:00.000000 UTC,µg/m³,EEA Austria,1.0,47.0416679994646,15.433056,POINT(47.0416679994646 1)
Morwell South,Morwell,AU,co,0.13,2022-05-06 14:00:00.000000 UTC,ppm,Australia - Victoria,1.0,-38.2392921,146.3873,POINT(-38.2392921 1)
Rozelle,Sydney East,AU,co,0.2,2022-05-05 09:00:00.000000 UTC,ppm,Australia - New South Wales,8.0,-33.8658333,151.1625,POINT(-33.8658333 8)
Wyong,Central Coast,AU,co,0.0,2022-04-28 13:00:00.000000 UTC,ppm,Australia - New South Wales,8.0,-32.195,150.6736111,POINT(-32.195 8)
Newcastle,Lower Hunter,AU,co,0.4,2022-05-14 16:00:00.000000 UTC,ppm,Australia - New South Wales,8.0,-32.9325,151.7583333,POINT(-32.9325 8)
BG0044A,Бургас,BG,co,120.0,2022-05-04 03:00:00.000000 UTC,µg/m³,EEA Bulgaria,1.0,42.518892,27.375144,POINT(42.518892 1)
São Caetano do Sul,São Caetano do Sul,BR,co,0.5,2022-05-12 02:00:00.000000 UTC,ppm,Sao Paulo CETESB,1.0,-23.61844277,-46.55635394,POINT(-23.61844277 1)
Congonhas,São Paulo,BR,co,0.9,2022-05-07 21:00:00.000000 UTC,ppm,Sao Paulo CETESB,1.0,-23.61632008,-46.66346553,POINT(-23.61632008 1)
Ibirapuera,São Paulo,BR,co,0.5,2022-05-20 23:00:00.000000 UTC,ppm,Sao Paulo CETESB,1.0,-23.59184199,-46.6606875,POINT(-23.59184199 1)
St Albert,N/A,CA,co,0.1,2022-05-26 08:00:00.000000 UTC,ppm,AirNow,1.0,53.626972,-113.611917,POINT(53.626972 1)
Grand Falls Windsor,NEWFOUNDLAND,CA,co,0.06,2022-05-05 02:30:00.000000 UTC,ppm,AirNow,1.0,48.92696,-55.6597,POINT(48.92696 1)
Abbotsford Airport,BRITISH COLUMBIA,CA,co,0.1,2022-05-19 22:00:00.000000 UTC,ppm,AirNow,1.0,49.021506,-122.326556,POINT(49.021506 1)
St. John's,NEWFOUNDLAND,CA,co,0.13,2022-05-04 02:30:00.000000 UTC,ppm,AirNow,1.0,47.56038,-52.7115,POINT(47.56038 1)
Mahon Park,BRITISH COLUMBIA,CA,co,0.15,2022-05-04 11:00:00.000000 UTC,ppm,AirNow,1.0,49.323891,-123.083611,POINT(49.323891 1)
St. John's,NEWFOUNDLAND,CA,co,0.1,2022-05-04 05:30:00.000000 UTC,ppm,AirNow,1.0,47.56038,-52.7115,POINT(47.56038 1)
Vancouver Airport,BRITISH COLUMBIA,CA,co,0.13,2022-05-12 00:00:00.000000 UTC,ppm,AirNow,1.0,49.18639,-123.15222,POINT(49.18639 1)
CZ0ALEG,Hlavní město Praha,CZ,co,577.0,2022-05-06 08:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,50.0723876953125,14.4306726455688,POINT(50.0723876953125 1)
CZ0HHKB,Královéhradecký,CZ,co,511.39104,2022-04-28 07:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,50.1953620910644,15.8463764190674,POINT(50.1953620910644 1)
CZ0HHKB,Královéhradecký,CZ,co,281.906,2022-05-15 00:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,50.1953620910644,15.8463764190674,POINT(50.1953620910644 1)
DEHB001,Bremen,DE,co,210.0,2022-05-11 00:00:00.000000 UTC,µg/m³,EEA Germany,1.0,53.077151,8.81578,POINT(53.077151 1)
DEBY119,Bayern,DE,co,190.0,2022-05-06 02:00:00.000000 UTC,µg/m³,EEA Germany,1.0,49.790526,9.947654,POINT(49.790526 1)
ES1973A,Granada,ES,co,288.0,2022-04-13 12:00:00.000000 UTC,µg/m³,EEA Spain,1.0,37.1355599994829,-3.61925,POINT(37.1355599994829 1)
ES1269A,Asturias,ES,co,300.0,2022-05-22 01:00:00.000000 UTC,µg/m³,EEA Spain,1.0,43.3665299994639,-5.83303,POINT(43.3665299994639 1)
ES1472A,Navarra,ES,co,200.0,2022-04-01 01:00:00.000000 UTC,µg/m³,EEA Spain,1.0,42.8072199994646,-1.65139,POINT(42.8072199994646 1)
ES1849A,Alicante/Alacant,ES,co,100.0,2022-05-06 00:00:00.000000 UTC,µg/m³,EEA Spain,1.0,38.2591666594776,-0.7175,POINT(38.2591666594776 1)
FR20069,Rhône,FR,co,203.0,2022-05-17 12:00:00.000000 UTC,µg/m³,EEA France,1.0,45.7748381342459,4.89857612637364,POINT(45.7748381342459 1)
Causeway Bay,Causeway Bay,HK,co,686.5,2022-05-15 13:00:00.000000 UTC,µg/m³,Hong Kong,1.0,22.28,114.185,POINT(22.28 1)
North,New Territories,HK,co,447.8,2022-05-04 09:00:00.000000 UTC,µg/m³,Hong Kong,1.0,22.49671,114.12824,POINT(22.49671 1)
Tap Mun,Tap Mun Police Post,HK,co,646.2,2022-04-14 04:00:00.000000 UTC,µg/m³,Hong Kong,1.0,22.4713888888889,114.360833333333,POINT(22.4713888888889 1)
"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,IN,co,0.0,2022-04-30 17:45:00.000000 UTC,µg/m³,caaqm,1.0,12.9352049,77.6814488,POINT(12.9352049 1)
"Plammoodu, Thiruvananthapuram - Kerala PCB",Thiruvananthapuram,IN,co,620.0,2022-05-12 02:00:00.000000 UTC,µg/m³,caaqm,1.0,8.5149093,76.9435879,POINT(8.5149093 1)
"Rajbansi Nagar, Patna - BSPCB",Patna,IN,co,460.0,2022-05-20 23:30:00.000000 UTC,µg/m³,caaqm,0.25,25.599486,85.113666,POINT(25.599486 0.25)
"Collectorate, Jodhpur - RSPCB",Jodhpur,IN,co,130.0,2022-04-02 03:45:00.000000 UTC,µg/m³,caaqm,1.0,26.268249,73.0193853,POINT(26.268249 1)
"DTU, Delhi - CPCB",Delhi,IN,co,400.0,2022-05-15 07:45:00.000000 UTC,µg/m³,caaqm,1.0,28.7500499,77.1112615,POINT(28.7500499 1)
"Ashok Vihar, Delhi - DPCC",Delhi,IN,co,1700.0,2022-05-02 00:45:00.000000 UTC,µg/m³,caaqm,0.25,28.695381,77.181665,POINT(28.695381 0.25)
"Ghusuri, Howrah - WBPCB",Howrah,IN,co,690.0,2022-05-22 14:45:00.000000 UTC,µg/m³,caaqm,0.25,22.611968,88.347422,POINT(22.611968 0.25)
"Sector 11, Faridabad - HSPCB",Faridabad,IN,co,2630.0,2022-05-15 16:45:00.000000 UTC,µg/m³,caaqm,0.25,28.376058,77.315741,POINT(28.376058 0.25)
"Vivek Vihar, Delhi - DPCC",Delhi,IN,co,1900.0,2022-05-14 04:15:00.000000 UTC,µg/m³,caaqm,0.25,28.672342,77.31526,POINT(28.672342 0.25)
"Sector 30, Faridabad - HSPCB",Faridabad,IN,co,480.0,2022-05-22 13:45:00.000000 UTC,µg/m³,caaqm,0.25,28.4417,77.3217,POINT(28.4417 0.25)
"Anand Kala Kshetram, Rajamahendravaram - APPCB",Rajamahendravaram,IN,co,1240.0,2022-05-04 23:00:00.000000 UTC,µg/m³,caaqm,1.0,16.9872867,81.7363176,POINT(16.9872867 1)
"NSIT Dwarka, Delhi - CPCB",Delhi,IN,co,850.0,2022-05-23 17:15:00.000000 UTC,µg/m³,caaqm,1.0,28.60909,77.0325413,POINT(28.60909 1)
"SVPI Airport Hansol, Ahmedabad - IITM",Ahmedabad,IN,co,870.0,2022-05-16 01:45:00.000000 UTC,µg/m³,caaqm,0.25,23.076793,72.627874,POINT(23.076793 0.25)
"Lumpyngngad, Shillong - Meghalaya PCB",Shillong,IN,co,80.0,2022-05-09 01:00:00.000000 UTC,µg/m³,caaqm,0.25,25.5586,91.8985,POINT(25.5586 0.25)
"Buddha Colony, Muzaffarpur - BSPCB",Muzaffarpur,IN,co,440.0,2022-05-12 19:30:00.000000 UTC,µg/m³,caaqm,0.25,26.11442,85.39813,POINT(26.11442 0.25)
"Ashok Nagar, Udaipur - RSPCB",Udaipur,IN,co,520.0,2022-05-04 18:45:00.000000 UTC,µg/m³,caaqm,1.0,24.5886166,73.6321397,POINT(24.5886166 1)
"Shastri Nagar, Narnaul - HSPCB",Narnaul,IN,co,0.5,2022-04-30 15:00:00.000000 UTC,µg/m³,caaqm,0.25,28.060249,76.113115,POINT(28.060249 0.25)
"DRCC Anandpur, Begusarai - BSPCB",Begusarai,IN,co,1170.0,2022-04-28 12:45:00.000000 UTC,µg/m³,caaqm,0.25,25.444266,86.140169,POINT(25.444266 0.25)
"Town Hall - Lal Bagh, Darbhanga - BSPCB",Darbhanga,IN,co,770.0,2022-05-15 17:45:00.000000 UTC,µg/m³,caaqm,0.25,26.15146,85.89342,POINT(26.15146 0.25)
"Sector-1, Noida - UPPCB",Noida,IN,co,1060.0,2022-05-13 10:00:00.000000 UTC,µg/m³,caaqm,0.25,28.5898,77.3101,POINT(28.5898 0.25)
"Nagla Bhau, Firozabad - UPPCB",Firozabad,IN,co,300.0,2022-05-17 09:00:00.000000 UTC,µg/m³,caaqm,0.25,27.168897,78.37696,POINT(27.168897 0.25)
"DM College of Science, Imphal - Manipur PCB",Imphal,IN,co,130.0,2022-05-09 15:00:00.000000 UTC,µg/m³,caaqm,0.25,24.8207389,93.9423085,POINT(24.8207389 0.25)
"DRCC Anandpur, Begusarai - BSPCB",Begusarai,IN,co,1050.0,2022-04-28 19:45:00.000000 UTC,µg/m³,caaqm,0.25,25.444266,86.140169,POINT(25.444266 0.25)
"DTU, Delhi - CPCB",Delhi,IN,co,0.0,2022-04-27 18:15:00.000000 UTC,µg/m³,caaqm,1.0,28.7500499,77.1112615,POINT(28.7500499 1)
"Maldahiya, Varanasi - UPPCB",Varanasi,IN,co,440.0,2022-05-13 21:00:00.000000 UTC,µg/m³,caaqm,0.25,25.32393,82.99687,POINT(25.32393 0.25)
"Kalal Majra, Khanna - PPCB",Khanna,IN,co,0.56,2022-05-08 08:45:00.000000 UTC,µg/m³,caaqm,0.25,30.736056,76.209694,POINT(30.736056 0.25)
"Malad West, Mumbai - IITM",Mumbai,IN,co,290.0,2022-05-18 11:45:00.000000 UTC,µg/m³,caaqm,0.25,19.19709,72.82204,POINT(19.19709 0.25)
"IIPHG Lekawada, Gandhinagar - IITM",Gandhinagar,IN,co,0.0,2022-05-14 08:45:00.000000 UTC,µg/m³,caaqm,0.25,23.243639,72.68994,POINT(23.243639 0.25)
"Rohta, Agra - UPPCB",Agra,IN,co,930.0,2022-05-22 03:00:00.000000 UTC,µg/m³,caaqm,0.25,27.106972,78.000111,POINT(27.106972 0.25)
"T T Nagar, Bhopal - MPPCB",Bhopal,IN,co,2620.0,2022-05-07 19:00:00.000000 UTC,µg/m³,caaqm,0.25,23.233584,77.400574,POINT(23.233584 0.25)
"IESD Banaras Hindu University, Varanasi - UPPCB",Varanasi,IN,co,130.0,2022-05-07 10:00:00.000000 UTC,µg/m³,caaqm,0.25,25.262326,82.995408,POINT(25.262326 0.25)
"GIDC, Ankleshwar - GPCB",Ankleshwar,IN,co,2050.0,2022-05-13 09:00:00.000000 UTC,µg/m³,caaqm,0.25,21.613267,73.010555,POINT(21.613267 0.25)
"Civil Line, Jalandhar - PPCB",Jalandhar,IN,co,1180.0,2022-05-25 02:15:00.000000 UTC,µg/m³,caaqm,1.0,31.321907,75.578914,POINT(31.321907 1)
"Kodungaiyur, Chennai - TNPCB",Chennai,IN,co,630.0,2022-05-16 18:00:00.000000 UTC,µg/m³,caaqm,0.25,13.1278,80.2642,POINT(13.1278 0.25)
"Panchal Nagar, Gadag - KSPCB",Gadag,IN,co,280.0,2022-04-02 03:45:00.000000 UTC,µg/m³,caaqm,0.25,15.411456,75.638133,POINT(15.411456 0.25)
"Anand Vihar, Delhi - DPCC",Delhi,IN,co,800.0,2022-04-28 23:30:00.000000 UTC,µg/m³,caaqm,1.0,28.647622,77.315809,POINT(28.647622 1)
"Manali, Chennai - CPCB",Chennai,IN,co,410.0,2022-05-04 14:00:00.000000 UTC,µg/m³,caaqm,0.25,13.164544,80.26285,POINT(13.164544 0.25)
"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,IN,co,430.0,2022-05-26 12:00:00.000000 UTC,µg/m³,caaqm,0.25,23.7176342,92.7192841,POINT(23.7176342 0.25)
"GIDC, Ankleshwar - GPCB",Ankleshwar,IN,co,1950.0,2022-04-30 23:00:00.000000 UTC,µg/m³,caaqm,0.25,21.613267,73.010555,POINT(21.613267 0.25)
"Sector-D Industrial Area, Mandideep - MPPCB",Mandideep,IN,co,190.0,2022-04-15 04:00:00.000000 UTC,µg/m³,caaqm,1.0,23.10844,77.511428,POINT(23.10844 1)
"Sector-2 Industrial Area, Pithampur - MPPCB",Pithampur,IN,co,140.0,2022-05-16 18:00:00.000000 UTC,µg/m³,caaqm,1.0,22.624758,75.675238,POINT(22.624758 1)
"Fort William, Kolkata - WBPCB",Kolkata,IN,co,340.0,2022-05-10 13:45:00.000000 UTC,µg/m³,caaqm,0.25,22.55664,88.342674,POINT(22.55664 0.25)
"Buddhi Vihar, Moradabad - UPPCB",Moradabad,IN,co,720.0,2022-05-12 10:00:00.000000 UTC,µg/m³,caaqm,0.25,28.83526,78.7446,POINT(28.83526 0.25)
"Vijay Nagar, Ramanagara - KSPCB",Ramanagara,IN,co,460.0,2022-04-30 07:00:00.000000 UTC,µg/m³,caaqm,0.25,12.733409,77.298051,POINT(12.733409 0.25)
"SAC ISRO Satellite, Ahmedabad - IITM",Ahmedabad,IN,co,0.0,2022-04-30 23:45:00.000000 UTC,µg/m³,caaqm,0.25,23.023389,72.515201,POINT(23.023389 0.25)
"Pan Bazaar, Guwahati - APCB",Guwahati,IN,co,480.0,2022-04-27 04:00:00.000000 UTC,µg/m³,caaqm,0.25,26.1875,91.744194,POINT(26.1875 0.25)
"Peenya, Bengaluru - CPCB",Bengaluru,IN,co,560.0,2022-05-09 16:45:00.000000 UTC,µg/m³,caaqm,1.0,13.0270199,77.494094,POINT(13.0270199 1)
"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai,IN,co,440.0,2022-05-21 18:00:00.000000 UTC,µg/m³,caaqm,0.25,19.000083,72.813993,POINT(19.000083 0.25)
"DTU, Delhi - CPCB",Delhi,IN,co,1110.0,2022-05-19 05:45:00.000000 UTC,µg/m³,caaqm,1.0,28.7500499,77.1112615,POINT(28.7500499 1)
"Jhunsi, Prayagraj - UPPCB",Prayagraj,IN,co,290.0,2022-05-10 03:00:00.000000 UTC,µg/m³,caaqm,0.25,25.425602,81.917152,POINT(25.425602 0.25)
IT1290A,Milano,IT,co,502.591,2022-03-14 12:00:00.000000 UTC,µg/m³,EEA Italy,1.0,45.39528,9.28278,POINT(45.39528 1)
Civitavecchia,Roma,IT,co,100.0,2022-05-26 06:00:00.000000 UTC,µg/m³,ARPALAZIO,1.0,42.091629,11.802466,POINT(42.091629 1)
IT2038A,Savona,IT,co,60.0,2022-05-16 00:00:00.000000 UTC,µg/m³,EEA Italy,1.0,44.051944,8.206944,POINT(44.051944 1)
IT2009A,Sassari,IT,co,189.4,2022-04-30 15:00:00.000000 UTC,µg/m³,EEA Italy,1.0,40.724444,8.576111,POINT(40.724444 1)
IT1193A,Potenza,IT,co,124.0,2022-05-12 20:00:00.000000 UTC,µg/m³,EEA Italy,1.0,40.9841,15.639965,POINT(40.9841 1)
IT2171A,Roma,IT,co,700.0,2022-05-24 22:00:00.000000 UTC,µg/m³,EEA Italy,1.0,42.09417,11.79556,POINT(42.09417 1)
IT2061A,Pesaro E Urbino,IT,co,500.0,2022-04-28 00:00:00.000000 UTC,µg/m³,EEA Italy,1.0,43.73056,12.63639,POINT(43.73056 1)
IT2013A,Frosinone,IT,co,200.0,2022-04-30 11:00:00.000000 UTC,µg/m³,EEA Italy,1.0,41.638889,13.323333,POINT(41.638889 1)
IT1618A,Brindisi,IT,co,550.0,2022-05-24 03:00:00.000000 UTC,µg/m³,EEA Italy,1.0,40.64389,17.94806,POINT(40.64389 1)
IT1940A,Reggio Di Calabria,IT,co,599.0217,2022-04-29 19:00:00.000000 UTC,µg/m³,EEA Italy,1.0,38.22976,16.25518,POINT(38.22976 1)
IT1817A,Bari,IT,co,140.0,2022-05-07 20:00:00.000000 UTC,µg/m³,EEA Italy,1.0,40.95667,17.29028,POINT(40.95667 1)
IT1698A,Genova,IT,co,500.0,2022-05-09 00:00:00.000000 UTC,µg/m³,EEA Italy,1.0,44.40492,8.968056,POINT(44.40492 1)
IT1837A,Roma,IT,co,800.0,2022-05-25 19:00:00.000000 UTC,µg/m³,EEA Italy,1.0,41.86417,12.46944,POINT(41.86417 1)
IT0063A,Livorno,IT,co,100.0,2022-04-29 17:00:00.000000 UTC,µg/m³,EEA Italy,1.0,42.939167,10.534167,POINT(42.939167 1)
IT2204A,Potenza,IT,co,213.0,2022-04-29 17:00:00.000000 UTC,µg/m³,EEA Italy,1.0,40.324234,15.867364,POINT(40.324234 1)
IT1309A,Olbia-Tempio,IT,co,161.5,2022-05-23 17:00:00.000000 UTC,µg/m³,EEA Italy,1.0,40.928333,9.501667,POINT(40.928333 1)
IT1742A,Potenza,IT,co,309.0,2022-05-06 07:00:00.000000 UTC,µg/m³,EEA Italy,1.0,40.314068,15.90458,POINT(40.314068 1)
IT2112A,Crotone,IT,co,1086.7131,2022-05-11 21:00:00.000000 UTC,µg/m³,EEA Italy,1.0,39.18752,17.01034,POINT(39.18752 1)
IT1583A,Potenza,IT,co,460.0,2022-05-03 18:00:00.000000 UTC,µg/m³,EEA Italy,1.0,40.649208,15.795198,POINT(40.649208 1)
IT2156A,Reggio Nell'Emilia,IT,co,500.0,2022-05-14 10:00:00.000000 UTC,µg/m³,EEA Italy,1.0,44.700278,10.622778,POINT(44.700278 1)
Estación San Juanico,GUANAJUATO,MX,co,1.87,2022-05-08 05:00:00.000000 UTC,ppm,AirNow,1.0,20.537683,-100.83994,POINT(20.537683 1)
Tlahuac,DISTRITO FEDERAL,MX,co,1.2,2022-05-18 13:00:00.000000 UTC,ppm,AirNow,1.0,19.2464,-99.01,POINT(19.2464 1)
UAM Iztapalapa,DISTRITO FEDERAL,MX,co,0.4,2022-04-06 03:00:00.000000 UTC,ppm,AirNow,1.0,19.3607,-99.0738,POINT(19.3607 1)
Estación DIF,GUANAJUATO,MX,co,1.35,2022-05-15 10:00:00.000000 UTC,ppm,AirNow,1.0,20.558153,-101.20485,POINT(20.558153 1)
Kirkeveien,Oslo,NO,co,187.908,2022-05-15 11:00:00.000000 UTC,µg/m³,Norway,1.0,59.93231,10.72455,POINT(59.93231 1)
"Kraków, ul. Bulwarowa",Kraków,PL,co,1530.51,2022-05-05 17:00:00.000000 UTC,µg/m³,GIOS,1.0,50.069308,20.053492,POINT(50.069308 1)
"Grudziądz, ul. Piłsudskiego",Grudziądz,PL,co,517.87,2022-05-16 09:00:00.000000 UTC,µg/m³,GIOS,1.0,53.49355,18.762139,POINT(53.49355 1)
"Gdańsk, ul. Powstańców Warszawskich",Gdańsk,PL,co,172.585,2022-05-13 17:00:00.000000 UTC,µg/m³,GIOS,1.0,54.353336,18.635283,POINT(54.353336 1)
Gorzów Wlkp. ul. Kosynierów Gdyńskich,Gorzów Wielkopolski,PL,co,291.34,2022-05-19 02:00:00.000000 UTC,µg/m³,GIOS,1.0,52.738214,15.228667,POINT(52.738214 1)
"Zgierz, ul. Mielczarskiego",Zgierz,PL,co,1833.0,2022-04-27 20:00:00.000000 UTC,µg/m³,GIOS,1.0,51.856692,19.421231,POINT(51.856692 1)
"Kraków, Aleja Krasińskiego",Kraków,PL,co,960.16,2022-04-29 18:00:00.000000 UTC,µg/m³,GIOS,1.0,50.057678,19.926189,POINT(50.057678 1)
"Lębork, ul. Malczewskiego",Lębork,PL,co,217.239,2022-04-24 04:00:00.000000 UTC,µg/m³,GIOS,1.0,54.546167,17.746194,POINT(54.546167 1)
"Szczecinek, ul. Przemysłowa",Szczecinek,PL,co,45.99,2022-05-17 03:00:00.000000 UTC,µg/m³,GIOS,1.0,53.698902,16.704556,POINT(53.698902 1)
"Radomsko, ul. Rolna",Radomsko,PL,co,766.0,2022-05-03 21:00:00.000000 UTC,µg/m³,GIOS,1.0,51.067439,19.448694,POINT(51.067439 1)
"Nisko, ul. Szklarniowa",Nisko,PL,co,84.43,2022-04-28 10:00:00.000000 UTC,µg/m³,GIOS,1.0,50.529892,22.112467,POINT(50.529892 1)
Gorzów Wlkp. ul. Kosynierów Gdyńskich,Gorzów Wielkopolski,PL,co,314.94,2022-05-08 20:00:00.000000 UTC,µg/m³,GIOS,1.0,52.738214,15.228667,POINT(52.738214 1)
"Elbląg, ul. Bażyńskiego",Elbląg,PL,co,349.099,2022-05-14 21:00:00.000000 UTC,µg/m³,GIOS,1.0,54.167847,19.410942,POINT(54.167847 1)
"Kalisz, ul. Wyszyńskiego",Kalisz,PL,co,265.98,2022-04-15 04:00:00.000000 UTC,µg/m³,GIOS,1.0,51.748103,18.04931,POINT(51.748103 1)
"Otwock, ul. Brzozowa",Otwock,PL,co,301.43,2022-05-11 01:00:00.000000 UTC,µg/m³,GIOS,1.0,52.115725,21.237297,POINT(52.115725 1)
"Radomsko, ul. Rolna",Radomsko,PL,co,493.0,2022-05-06 08:00:00.000000 UTC,µg/m³,GIOS,1.0,51.067439,19.448694,POINT(51.067439 1)
"Koziegłowy, os.Leśne",Koziegłowy,PL,co,113.75,2022-05-14 16:00:00.000000 UTC,µg/m³,GIOS,1.0,52.449331,16.999683,POINT(52.449331 1)
PT03094,Setúbal,PT,co,203.0,2022-05-03 14:00:00.000000 UTC,µg/m³,EEA Portugal,1.0,38.524167,-8.894167,POINT(38.524167 1)
RS0041A,Kolubarski upravni okrug,RS,co,238.77,2022-05-10 17:00:00.000000 UTC,µg/m³,EEA Servia,1.0,44.273049,19.899006,POINT(44.273049 1)
SK0002A,Bratislavský kraj,SK,co,252.532,2022-05-07 07:00:00.000000 UTC,µg/m³,EEA Slovakia,1.0,48.1584279994666,17.128678,POINT(48.1584279994666 1)
Kanjanapisek Park,Sa Kaeo,TH,co,0.15,2022-05-19 14:00:00.000000 UTC,ppm,Air4Thai,8.0,13.691047,102.510442,POINT(13.691047 8)
Residence for Dept. of Mineral Resources,Samut Prakan,TH,co,0.45,2022-05-11 10:00:00.000000 UTC,ppm,Air4Thai,1.0,13.652141,100.531805,POINT(13.652141 1)
Hat Yai Municipality,Songkhla,TH,co,0.09,2022-05-13 17:00:00.000000 UTC,ppm,Air4Thai,8.0,7.020434,100.484088,POINT(7.020434 8)
Health Promotion Hospital Maptaput,Rayong,TH,co,0.64,2022-05-22 11:00:00.000000 UTC,ppm,Air4Thai,8.0,12.70865,101.1659833,POINT(12.70865 8)
